Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.30641189217567444,-0.1710052788257599,92.04210662841797,-6.561243530852912,-3.5794087620249804,20.65446388249402,-5.0460386,7.83395,-1.902491,31.786572,-16.711927,-6.216083,14.601187,-0.9377298,-26.793142,2.9181592,-7.999156,5.5323205,-2.3593209,5.046817,3.153532,6.3803296,4.9362063,-21.693502,72.42638,-5.706149,4.8237853,14.00968,5.341636,-6.3881655,21.793653,76.49097,0.54747427,8.307277,-8.694511
1,-0.42313164472579956,-0.319505512714386,91.99552917480469,-5.0971095848124275,-4.57597311297245,20.165101738823143,-4.8286443,8.898801,-2.7050197,31.45048,-15.553769,-8.260149,16.483562,-2.0836802,-30.177454,2.9242837,-8.154983,5.8005114,-2.236775,5.083672,2.9286878,5.84253,5.845283,-23.83462,73.591965,-5.7273846,3.0585456,12.953357,5.247093,-7.505302,24.059435,77.22977,1.2139635,6.209545,-9.096528
2,-0.5510156750679016,-0.46793386340141296,91.99018096923828,-4.521485296731071,-5.03156645623379,20.089938231817705,-4.9519806,9.528347,-4.0421243,31.318365,-14.347575,-9.877192,17.527342,-2.5032032,-32.4066,2.9027686,-7.9381976,5.8484564,-2.1585186,5.1632743,3.1491783,5.740208,6.9074397,-25.52785,73.65551,-5.782858,2.4492674,12.475765,5.6581354,-8.881178,25.687654,76.48507,2.158922,5.3439426,-9.38892
3,-0.6817930340766907,-0.6302556395530701,91.9988784790039,-4.27582966772535,-5.486381451663591,20.292353497734666,-5.0421276,9.851369,-5.4250894,31.447805,-13.278818,-11.098392,18.314442,-2.4947932,-33.638973,2.8932805,-7.8142023,5.5640635,-2.0542755,5.377202,3.4827082,5.8975315,7.9286857,-26.876389,73.072655,-5.4022326,2.2621682,11.792005,6.044645,-10.275681,27.154564,75.37085,3.1518183,4.6833057,-9.540908
4,-0.8016506433486938,-0.8093171715736389,92.02218627929688,-4.11794908136887,-6.030904283071523,20.842704929649404,-5.0771723,10.100637,-6.5310574,31.760645,-12.585022,-11.932827,19.059982,-2.2571545,-34.20045,2.8928306,-7.82717,5.0806985,-1.9317878,5.6528463,3.8430288,6.0982814,8.784846,-28.045486,72.319214,-5.0317717,2.4511368,11.006213,6.4140763,-11.52231,28.490133,74.09134,4.133011,4.3575883,-9.603195
5,-0.8970853686332703,-0.9977195262908936,92.05831146240234,-4.116145716063048,-6.417594210403512,21.422148493999345,-5.2100964,10.249395,-7.4644613,32.02383,-12.065526,-12.545181,19.580065,-1.9646643,-34.523766,2.8850932,-7.772881,4.6906333,-1.8279259,5.945915,4.174898,6.182913,9.45414,-28.986591,71.681175,-4.991088,2.7808363,10.314655,6.838991,-12.5331335,29.38712,72.81426,4.770698,4.335153,-9.605818
6,-0.9575994610786438,-1.1969672441482544,91.95049285888672,-4.0776130366318615,-6.706171328751561,22.001138658207797,-5.4082303,10.1944065,-8.360899,32.161972,-11.585345,-13.002993,19.979475,-1.7632033,-34.968178,2.8568654,-7.7468863,4.479202,-1.7126244,6.1868463,4.403534,6.207528,9.970747,-29.53485,71.07398,-5.156262,3.100107,9.648069,7.379272,-13.327318,29.81008,71.46842,5.070405,4.455337,-9.66798
7,-0.9736490249633789,-1.4050642251968384,91.921630859375,-3.9324066082912914,-6.968486152635575,22.49035532209915,-5.5941024,9.982189,-9.166061,32.232384,-11.205332,-13.324801,20.298328,-1.6718942,-35.39785,2.8521924,-7.7957573,4.266801,-1.5871807,6.4206276,4.561224,6.266359,10.361224,-29.75422,70.495804,-5.384244,3.3938897,9.107169,7.9654465,-13.943327,29.955667,70.16912,5.1972337,4.5702767,-9.752631
8,-0.9375441074371338,-1.615829348564148,91.91513061523438,-3.7315135239713513,-7.187307124120038,22.820761910362844,-5.720787,9.798947,-9.616608,32.300716,-11.101476,-13.473594,20.511206,-1.6364506,-35.509357,2.8962696,-7.8709354,3.9329448,-1.4745169,6.693581,4.63122,6.431013,10.667016,-29.679148,69.88489,-5.520344,3.7047422,8.848292,8.532546,-14.4131365,29.916101,68.9973,5.044749,4.595264,-9.65944
9,-0.8457098007202148,-1.8238427639007568,91.91979217529297,-3.5063967328717185,-7.308473661091174,23.073912269469602,-5.79919,9.712554,-9.761273,32.302643,-11.195755,-13.597646,20.637676,-1.6219717,-35.4276,2.9413424,-8.023023,3.5989592,-1.3467132,6.934295,4.600485,6.649062,10.924154,-29.428705,69.329445,-5.6343627,4.060519,8.710509,9.118272,-14.744473,29.821024,67.98644,4.8300805,4.5821333,-9.399403
