Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.14477908611297607,-0.32148706912994385,81.87748718261719,-0.4127019421920035,-1.4938850201182317,51.7784669119693,-6.0736275,8.403389,9.28946,32.737003,-15.039263,-5.1020923,-0.10596562,-12.6567,-21.853016,30.81092,-18.463678,7.674484,0.3538999,0.81753147,-0.5354841,6.1304913,6.403556,-25.25986,73.589714,-3.4638937,5.8911085,13.793958,6.0668926,-6.1681285,24.115723,76.044044,1.3377957,7.7884927,-8.849014
1,-0.16813744604587555,-0.45534852147102356,81.89688873291016,0.06803076776323409,-2.0554304135267074,50.477293762772526,-5.839637,9.247992,10.068334,32.833126,-14.387892,-5.7402377,0.59341615,-14.101903,-23.23125,31.220629,-18.363985,7.807802,0.37109056,0.67541504,-0.5064666,5.657534,6.80832,-27.146633,74.27446,-3.6362848,5.321275,13.370345,5.675575,-6.640362,25.278389,76.03677,2.1235814,6.76026,-8.84994
2,-0.19003210961818695,-0.6119075417518616,81.94414520263672,0.3415881843594257,-2.7220205841828027,49.675132757380894,-5.804889,10.280709,10.668936,32.948315,-13.517556,-6.5231,1.4092939,-15.531738,-24.830275,31.587967,-18.023825,8.102006,0.3278199,0.5283196,-0.29321218,5.0246854,7.444113,-29.119715,74.896355,-3.8987103,4.825486,13.203416,5.466077,-7.4362307,27.005308,75.5906,3.494652,5.784514,-9.11306
3,-0.2057352513074875,-0.7899922132492065,81.99723052978516,0.5718308705308943,-3.674326576231671,49.7384193198316,-5.6770077,11.176811,11.09215,33.035633,-12.657525,-7.273534,2.4015326,-16.800798,-26.254343,31.99267,-17.86571,8.331404,0.28826228,0.349254,-0.10945574,4.3592625,8.199457,-31.536371,75.3436,-4.0871305,4.306796,12.90191,5.3199034,-8.41139,29.716352,75.03395,4.968588,4.614583,-9.473646
4,-0.20913797616958618,-0.974539577960968,81.82307434082031,0.6963656061597844,-4.45164710184266,50.27084794283509,-5.6469007,11.959966,11.432905,33.159176,-12.094574,-7.792559,3.202857,-17.590408,-27.354813,32.331947,-17.990948,8.229409,0.24168415,0.31457037,0.16857544,3.9140978,8.950977,-33.205997,75.28268,-4.162297,3.9586656,12.439185,5.3763323,-9.376148,31.671059,74.260994,5.902273,3.750046,-9.759823
5,-0.20063026249408722,-1.155242919921875,81.77059936523438,0.7864183781166348,-4.855709156578244,50.75950295539125,-5.737107,12.476822,11.656605,33.252922,-11.64999,-8.171496,3.64842,-18.047808,-28.215212,32.56562,-18.07422,8.031898,0.21937859,0.40883887,0.50842506,3.727387,9.602804,-34.006493,74.91347,-4.171589,3.8847976,12.059664,5.6348963,-10.194227,32.59139,73.36904,6.4536834,3.32261,-9.908931
6,-0.18578775227069855,-1.330133080482483,81.74268341064453,0.8337109252149218,-5.041014547738608,51.188908397991334,-5.8868785,12.78759,11.762492,33.326336,-11.250923,-8.411338,3.9107912,-18.271673,-28.867956,32.69205,-18.12251,7.8404746,0.24568488,0.56956303,0.8241693,3.6173747,10.143827,-34.290344,74.38754,-4.145445,4.056939,11.719758,6.0057425,-10.8429,32.907486,72.39794,6.730901,3.2044191,-9.9681835
7,-0.16817376017570496,-1.4997072219848633,81.7318344116211,0.8818538225578519,-5.1310497427243495,51.55685126687304,-6.047953,12.9085655,11.736118,33.358353,-10.949429,-8.562929,4.062821,-18.369139,-29.305216,32.757923,-18.215612,7.6651664,0.30931988,0.7344831,1.0795529,3.5250778,10.585059,-34.32404,73.83956,-4.0292664,4.256653,11.4390135,6.3794546,-11.332673,32.97887,71.50538,6.8488474,3.1746697,-9.976523
8,-0.14848817884922028,-1.6641805171966553,81.7266845703125,0.9023406467508186,-5.202780646294825,51.9023728711251,-6.213828,12.943937,11.554453,33.37793,-10.749669,-8.677193,4.1543756,-18.315825,-29.492178,32.7688,-18.313747,7.531476,0.37748837,0.88514197,1.2519052,3.439178,10.947646,-34.203465,73.33965,-3.8347015,4.388619,11.260831,6.710514,-11.679261,32.955517,70.80699,6.905485,3.1333,-9.944133
9,-0.123299241065979,-1.821793794631958,81.71955871582031,0.8669164486825823,-5.302029175620073,52.23235271565527,-6.3654566,13.00269,11.281688,33.43814,-10.569971,-8.775358,4.2432127,-18.107315,-29.484539,32.73338,-18.388876,7.4341106,0.43258312,1.0307623,1.3632114,3.3751936,11.252312,-33.959167,72.900734,-3.6222155,4.506766,11.090937,6.9956336,-11.904995,32.87475,70.284615,6.9476657,3.0960548,-9.854962
