Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.18694044649600983,-0.11091596633195877,93.00360107421875,0.3229936652394948,-4.264199473289935,72.25536188752682,3.7244434,7.8428087,11.493036,4.8080125,8.706979,-8.8581,17.649155,-8.109887,-47.268986,2.2432747,-3.0053165,3.2978861,3.6152291,1.9700215,3.5094016,4.7548776,10.791761,-38.360397,65.69126,-0.97127825,3.7238925,7.406024,8.922236,-12.719365,33.47047,66.315094,8.832167,2.2456746,-10.819364
1,-0.24177540838718414,-0.10560213029384613,92.9780044555664,0.13338066579192795,-4.353671333088076,72.90766375768786,3.7065415,7.958357,11.332118,4.7320375,8.665442,-8.910382,17.928095,-7.889895,-47.766758,2.1695185,-2.972826,3.3097074,3.642935,1.9291215,3.457195,4.58891,10.808263,-38.24597,65.45088,-0.88493925,3.5672028,7.2659845,9.26903,-12.726935,33.334267,66.352745,8.571651,2.1869977,-10.857008
2,-0.2967909276485443,-0.09519004076719284,92.96549224853516,0.08569477394965956,-4.360555563516674,73.0427619603552,3.6965623,7.965927,11.369234,4.721826,8.528659,-8.892308,17.875198,-7.858865,-47.449535,2.2133076,-2.9632645,3.4411097,3.6586251,1.9109024,3.3498147,4.671842,10.811686,-38.184227,65.257904,-0.76446587,3.5389283,7.2365875,9.33407,-12.749675,33.398052,66.366066,8.295522,2.1801305,-10.810301
3,-0.34969818592071533,-0.0782885029911995,92.95696258544922,0.04233301282208037,-4.364082702530617,73.3123353230046,3.6270714,7.909988,11.138244,4.7240973,8.441461,-8.913248,17.97372,-7.8137856,-47.64126,2.1227393,-2.9314272,3.486839,3.6377108,1.883623,3.3097951,4.6488547,10.809709,-38.194847,65.1201,-0.67661804,3.4368467,7.154561,9.427813,-12.7588,33.39516,66.439064,8.135964,2.145501,-10.86114
4,-0.39672014117240906,-0.05347777530550957,92.95896911621094,0.05514067291410448,-4.4082897465649555,73.48754926229813,3.6391609,7.839086,11.107878,4.741967,8.3848095,-8.894431,18.077303,-7.842421,-47.711037,2.0712702,-2.96093,3.4967632,3.6466186,1.889415,3.2624378,4.65287,10.785481,-38.330383,65.097046,-0.46556434,3.487476,7.1997423,9.505036,-12.803589,33.540462,66.51094,7.8411627,2.172731,-10.91574
5,-0.43865904211997986,-0.01711360365152359,92.94709777832031,0.018200895133311794,-4.3307518166942724,73.69681168335366,3.6238048,7.80853,11.097419,4.5455365,8.304562,-8.785363,18.131346,-7.7500224,-47.831867,1.835553,-2.9352708,3.4245968,3.6261199,1.8688964,3.2797148,4.6585536,10.767682,-38.29912,64.89164,-0.23913911,3.6026266,7.0991516,9.563623,-12.827978,33.477062,66.641556,8.036708,2.258083,-10.91191
6,-0.47554779052734375,0.02941802889108658,92.93133544921875,0.04303351779096187,-4.201591815385661,73.7812334885068,3.4208302,7.71226,10.937862,4.6777186,8.194922,-8.798054,18.039173,-7.780693,-47.77641,1.765219,-3.008586,3.5844653,3.6221933,1.8182385,3.2474418,4.707703,10.745125,-38.367077,64.790436,-0.08315366,3.5334685,7.096167,9.608107,-12.859973,33.532627,66.67337,7.9330826,2.2975428,-11.016068
7,-0.5112253427505493,0.08573253452777863,92.91532897949219,0.007534260149844724,-4.108268944820352,73.9152585969885,3.3424435,7.659268,10.751479,4.618608,8.012824,-8.81172,17.987036,-7.763699,-47.751785,1.7553357,-3.0417671,3.6650085,3.6441367,1.7996548,3.2124195,4.746275,10.722892,-38.358124,64.71118,0.007794486,3.4641266,7.1462293,9.713196,-12.88399,33.54259,66.74893,7.770244,2.2812908,-11.035555
8,-0.5473071932792664,0.1515871286392212,92.91802978515625,0.02004876302442299,-4.0426949527248945,74.03061796466608,3.308517,7.608623,10.827842,4.604814,8.006991,-8.726924,17.992199,-7.756598,-47.631523,1.6254574,-2.952518,3.6615493,3.603895,1.7782427,3.2188618,4.8260493,10.690197,-38.364773,64.660065,0.053455204,3.419805,7.1348596,9.762975,-12.910846,33.551014,66.87655,7.7749796,2.3142202,-11.03176
9,-0.5897120833396912,0.22644442319869995,92.90922546386719,-0.0176365667933065,-4.006451461605903,74.06374235301327,3.37425,7.616001,10.965449,4.5217695,7.840669,-8.774835,18.019032,-7.759144,-47.675533,1.606442,-2.9887884,3.6782427,3.5635445,1.7655953,3.1926944,4.9113107,10.63431,-38.440437,64.739815,0.16625705,3.359378,7.276046,9.791438,-12.949157,33.537758,67.01674,7.5477495,2.4106247,-11.122246
10,-0.6373745799064636,0.3134438395500183,92.91948699951172,0.004954654308246819,-3.9340121357882443,74.15153650672961,3.3607957,7.5267725,11.002797,4.4865675,7.7350388,-8.661236,18.011843,-7.7917624,-47.528053,1.5093149,-2.854295,3.666038,3.5518062,1.7534616,3.1653252,5.028377,10.571742,-38.453167,64.66919,0.19524504,3.3039908,7.247604,9.895886,-12.995696,33.528572,67.07648,7.529816,2.3355298,-11.038134
11,-0.6947770118713379,0.4152732789516449,92.91011810302734,-0.03639675351779439,-3.8127009871761413,74.10810370166868,3.3841343,7.518652,11.161632,4.3718123,7.634364,-8.666235,17.940413,-7.787794,-47.391193,1.4327533,-2.754701,3.6948674,3.5238888,1.7311883,3.1211345,5.213565,10.503863,-38.443134,64.6155,0.15973501,3.1390471,7.296649,9.939442,-13.048249,33.473938,67.15065,7.4753985,2.3428812,-11.014876
12,-0.7609946131706238,0.5350658893585205,92.90283966064453,-0.13572055591323234,-3.7848903693265226,74.11291844719574,3.5164638,7.590487,11.420568,4.271212,7.33212,-8.570333,17.93701,-7.764286,-47.195007,1.4789376,-2.6718585,3.6785305,3.5034163,1.7325344,3.0925772,5.4034996,10.415475,-38.3734,64.55602,0.35114273,3.124869,7.456909,10.055011,-13.114379,33.34342,67.231544,7.3652096,2.267601,-10.845583
13,-0.8310667276382446,0.6793004870414734,92.90625762939453,-0.10734330056896527,-3.665914143476312,74.0584552877099,3.5755904,7.482052,11.605117,4.161417,7.1922092,-8.562773,17.867245,-7.871265,-46.97616,1.4500638,-2.599251,3.749788,3.4543538,1.7182093,3.043032,5.6910214,10.338841,-38.47775,64.44545,0.35569033,2.9617333,7.375103,10.088867,-13.176866,33.38626,67.403824,7.2213793,2.1892066,-10.758311
14,-0.9067959785461426,0.8536461591720581,92.90309143066406,-0.15045280612411854,-3.5299368957120056,73.89644942660046,3.694419,7.5043592,12.064307,4.0423203,6.871473,-8.446152,17.740425,-7.9508624,-46.674236,1.5145565,-2.4719682,3.8250756,3.457027,1.7339406,2.977257,5.980901,10.188072,-38.485622,64.436905,0.5349225,2.9939406,7.5297437,10.207594,-13.29937,33.31203,67.44157,6.9808164,2.2006423,-10.725992
15,-0.9827461838722229,1.0614131689071655,92.90208435058594,-0.12486702980899246,-3.361728976308238,73.7787745192468,3.7947764,7.3983455,12.367859,3.8933997,6.5267878,-8.420825,17.673716,-8.073393,-46.48407,1.4503614,-2.3971746,3.8923526,3.414477,1.7212497,2.921171,6.332631,10.057071,-38.563847,64.42202,0.78086543,3.0269024,7.4829483,10.340767,-13.404732,33.1972,67.46025,6.584455,2.311448,-10.657813
16,-1.0588093996047974,1.3062409162521362,92.8936767578125,-0.19419533215663362,-3.2364912969919724,73.52668799656131,3.9967532,7.4658294,12.979747,3.824647,6.1959567,-8.269679,17.57706,-8.167488,-46.127716,1.5631967,-2.2611485,3.9660828,3.3953178,1.7113693,2.877886,6.7296753,9.931644,-38.53301,64.44995,1.0150768,3.1198862,7.5625334,10.460194,-13.495304,32.979572,67.48878,6.3227077,2.3066094,-10.545716
17,-1.128556251525879,1.588091254234314,92.87660217285156,-0.24075930148545532,-3.0323854212875765,73.1092449855016,4.2210875,7.4857163,13.589887,3.6638396,5.84938,-8.15235,17.421623,-8.293394,-45.775814,1.6200961,-2.1642723,4.0689273,3.3847768,1.6796371,2.7654643,7.129252,9.816574,-38.628353,64.51555,1.1532652,3.2226243,7.524439,10.559874,-13.584361,32.77232,67.36451,6.140198,2.3301933,-10.572424
18,-1.1880093812942505,1.9038045406341553,92.84745788574219,-0.2887019597063055,-2.7573495295946255,72.6187843166156,4.516787,7.540396,14.520654,3.3442018,5.5092773,-7.8913064,17.164633,-8.439188,-45.30012,1.7278532,-2.1137214,4.2336307,3.3684173,1.6419228,2.657892,7.427116,9.733281,-38.541035,64.60056,1.3965576,3.4031513,7.385757,10.625956,-13.661731,32.496056,67.09314,6.0607967,2.4132295,-10.548586
19,-1.233828067779541,2.2429850101470947,92.84930419921875,-0.2521007111026773,-2.6293826985703395,71.94563604799572,4.873654,7.4334226,15.005918,3.2689683,5.0475326,-7.762619,17.027607,-8.707813,-44.71962,1.8804587,-2.0036068,4.465455,3.320506,1.6107583,2.5173469,7.445178,9.717547,-38.336796,64.827385,1.5672908,3.5135531,7.4532375,10.61279,-13.720214,32.229088,66.63527,5.6685038,2.519372,-10.679603
20,-1.2662900686264038,2.6030988693237305,92.81668090820312,-0.17852516953064695,-2.1901467481876233,71.23108166980809,5.0550365,7.3079495,15.836116,2.977568,4.665019,-7.542423,16.548363,-9.045244,-44.1616,2.0819685,-2.0162654,4.8361597,3.1704667,1.5122021,2.4276733,6.998995,9.788516,-37.93166,65.03169,2.1667736,3.5940151,7.5054197,10.470966,-13.781569,31.78076,66.05048,5.491288,2.6558483,-10.801252
21,-1.2902555465698242,2.9687352180480957,92.818359375,-0.05740985595514337,-1.8747724184995729,70.42553621112471,5.466573,7.068215,16.557516,2.50047,4.2710514,-7.3316107,16.146132,-9.458805,-43.49406,2.3451693,-1.9722546,5.159985,2.9681447,1.406409,2.4101994,6.2563424,10.038841,-37.442684,65.12207,2.5898583,3.695078,7.6588163,10.306837,-13.866229,31.07318,65.304924,5.6822996,2.743174,-11.052216
22,-1.3127102851867676,3.3335983753204346,92.88278198242188,0.14201659985418258,-1.5974230965669358,69.45991919868665,5.986204,6.7508264,17.493883,1.9729743,4.136994,-7.1062818,15.690052,-10.001732,-42.676403,2.7115016,-1.8073057,5.2499332,2.6505249,1.2909027,2.3603487,5.8142643,10.326053,-37.173313,65.03925,2.9617634,3.8638155,7.6389103,10.069987,-13.952909,30.45367,64.67131,5.956824,2.5797234,-11.174256
23,-1.3503594398498535,3.6866836547851562,92.89509582519531,0.15978518927749852,-1.4389856234289007,68.46885682576331,6.7155805,6.5602107,18.334324,1.2285802,3.8947926,-6.8506274,15.117871,-10.487174,-41.600838,3.5669332,-1.9432375,5.382958,2.2526147,1.1055857,2.3191314,5.8069973,10.624323,-36.90161,64.666725,3.6022453,4.047792,7.5805926,10.012181,-14.082022,29.649815,63.73369,5.9474936,2.5797446,-11.376328
24,-1.404584527015686,4.023118019104004,92.90516662597656,0.27784241158471573,-1.228734508259998,67.27745361969481,7.509923,6.1964545,19.30642,0.2625812,3.9389427,-6.5803323,14.307053,-11.160655,-40.303665,4.642736,-2.0851872,5.480512,1.6564003,0.8766051,2.3291354,6.1537395,10.881984,-36.47379,64.32532,3.9076006,4.211529,7.60297,10.018066,-14.262448,28.506472,62.695404,6.1879954,2.6029506,-11.584221
