Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-3.7784390449523926,0.3574458956718445,80.20890045166016,0.7899763188702967,-1.2428313085835574,-178.71977147828036,24.411427,11.6201725,25.162022,6.892098,-11.074525,-6.948504,-25.46987,-14.293688,-23.092525,5.9513016,14.840578,7.9527073,-12.310438,-9.454665,15.904723,-21.790827,31.713602,-22.277021,49.49926,-2.025779,-1.9594352,24.818392,6.565533,-14.42365,26.427153,58.72806,-0.92399603,-0.8565087,-14.013413
1,-5.733910083770752,0.5662535429000854,79.53804779052734,2.3229268912970675,-2.123761977646627,-177.07131205238107,26.846233,10.409268,24.058483,6.7849145,-10.317427,-5.648,-26.13652,-16.333082,-23.16629,5.7838297,10.879324,9.507126,-13.444724,-9.855477,15.332987,-22.752918,31.934542,-21.78557,48.633068,-2.0994596,-0.9715519,24.485828,8.595208,-14.454199,25.685339,60.442883,0.56507814,-0.08163906,-14.328811
2,-8.135856628417969,0.8125661015510559,79.77892303466797,3.1840411221724128,-2.8877451202805635,-176.77583615016036,29.153215,9.462711,22.812315,6.8504853,-8.597442,-4.7035885,-26.382267,-16.912834,-21.382624,5.723097,9.769637,10.050325,-13.6661005,-9.736032,15.027127,-22.101053,32.0255,-21.524347,47.371002,-2.8147666,-0.89040166,24.890081,9.737955,-14.50067,25.348652,61.792873,2.0245597,-0.00089720485,-14.615077
3,-10.924562454223633,1.0803487300872803,80.26277160644531,3.1191136987781185,-2.977124824978731,-177.8650181301539,31.512112,9.031388,23.283665,7.0818286,-3.9260361,-4.1618567,-26.58447,-15.184899,-16.984251,5.5840697,15.545559,9.264496,-12.734783,-8.844549,15.204458,-20.246704,31.870676,-21.118782,46.156918,-3.786042,-0.7534629,24.652245,9.791425,-14.520045,26.010138,63.26405,4.937793,-0.9095792,-14.787753
4,-14.007869720458984,1.3687560558319092,80.84661102294922,2.412252062377396,-2.361394195226819,-178.86725957484282,27.214191,12.261597,23.204016,21.52703,-0.23303564,-3.5238674,-25.920504,-12.66497,-12.306035,5.495524,23.505533,8.152591,-11.956742,-7.401436,15.512101,-17.661375,31.11855,-20.709896,45.855427,-5.4389443,-0.8367362,24.195683,8.638042,-14.310084,27.169348,64.92625,7.2414274,-1.3647205,-15.230963
5,-17.24156379699707,1.667683720588684,81.43709564208984,0.6175160665960945,-1.1461820056665877,-179.32365782510368,19.195992,17.174467,21.59461,40.994778,3.2847157,-2.3641198,-28.043953,-10.565786,-10.096667,12.665281,25.616343,5.9865685,-11.40925,-5.0392923,15.9611025,-14.945892,29.965828,-21.430777,46.637814,-6.5637264,-0.9519835,22.754993,6.6364326,-13.989982,28.1077,65.61758,8.981643,-2.0777085,-15.877214
6,-20.547706604003906,1.9671201705932617,81.96000671386719,-1.0547611723612371,-0.45701060136361144,-179.45668709505884,9.414741,20.001463,17.39568,60.03693,5.6442595,-1.7144378,-30.52822,-9.650221,-9.104712,21.760149,24.768679,3.1406784,-10.607781,-3.2898376,17.015085,-12.840525,28.595352,-23.012362,48.502605,-7.26363,-0.92306477,20.060452,3.7258215,-13.63396,28.24292,64.84235,10.669519,-2.82572,-16.429846
7,-23.836183547973633,2.2714521884918213,82.31830596923828,-1.3448732190265948,-0.1905836638101232,-179.54270887474078,-0.6600089,19.784212,12.840385,73.99208,5.349101,-2.4030237,-31.247782,-9.452795,-8.543144,28.059582,23.702108,1.1836475,-9.595807,-3.0184119,18.584156,-11.453765,27.195385,-24.697475,51.509254,-7.2449365,-0.8155948,17.912104,0.07722054,-13.327486,27.557125,62.786327,10.613329,-3.1323693,-17.546524
8,-27.0604305267334,2.5601179599761963,82.38793182373047,-1.5294745385344835,0.39487512283964016,179.82475691139908,-9.274431,18.499058,10.763641,81.76037,0.30558246,-1.9379561,-31.699688,-9.393216,-7.9523954,33.85665,21.569237,-0.2528627,-8.005386,-3.1980522,20.242098,-10.88914,25.945946,-25.997593,54.89682,-6.6592345,-0.30733564,16.007736,-4.2881904,-13.178522,26.877762,60.03826,11.796086,-3.3344424,-17.924267
9,-30.18948745727539,2.8320116996765137,82.07463836669922,-1.0324811148075923,0.6760997806950879,179.6153081870825,-16.792286,17.49796,11.092943,81.75563,-3.679179,-0.7777535,-31.310808,-9.248378,-6.925382,37.81308,19.387108,0.22004749,-6.417301,-3.7648654,22.256939,-10.765333,24.960508,-26.835627,57.797646,-6.718201,0.4087412,14.837031,-8.673078,-13.30294,26.332441,57.14289,11.602862,-3.050721,-18.571321
